Current Player,Current Panel,Current Task,Current Left Controller State,Current Right Controller State,Current Time,Current Value,Current Input
3,0,1,not tracked,is tracked,25.44948,0,Right Trigger
3,0,1,not tracked,is tracked,25.46486,0,Right Trigger
3,0,1,not tracked,is tracked,25.47236,0,Right Trigger
3,0,1,not tracked,is tracked,25.47861,0,Right Trigger
3,0,1,not tracked,is tracked,25.4842,0,Right Trigger
3,0,1,not tracked,is tracked,25.49069,0,Right Trigger
3,0,1,not tracked,is tracked,25.49616,0,Right Trigger
3,0,1,not tracked,is tracked,25.50108,0,Right Trigger
3,0,1,not tracked,is tracked,25.50656,0,Right Trigger
3,0,1,not tracked,is tracked,25.51234,0,Right Trigger
3,0,1,not tracked,is tracked,25.518,0,Right Trigger
3,0,1,not tracked,is tracked,25.52436,0,Right Trigger
3,0,1,not tracked,is tracked,25.53127,0,Right Trigger
3,0,1,not tracked,is tracked,25.53815,0,Right Trigger
3,0,1,not tracked,is tracked,25.54468,0,Right Trigger
3,0,1,not tracked,is tracked,25.55151,0,Right Trigger
3,0,1,not tracked,is tracked,25.5564,0,Right Trigger
3,0,1,not tracked,is tracked,25.56168,0,Right Trigger
3,0,1,not tracked,is tracked,25.56728,0,Right Trigger
3,0,1,not tracked,is tracked,25.57245,0,Right Trigger
3,0,1,not tracked,is tracked,25.57776,0,Right Trigger
3,0,1,not tracked,is tracked,25.58274,0,Right Trigger
3,0,1,not tracked,is tracked,25.58812,0,Right Trigger
3,0,1,not tracked,is tracked,25.59341,0,Right Trigger
3,0,1,not tracked,is tracked,25.59891,0,Right Trigger
3,0,1,not tracked,is tracked,25.60389,0,Right Trigger
3,0,1,not tracked,is tracked,25.60954,0,Right Trigger
3,0,1,not tracked,is tracked,25.61471,0,Right Trigger
3,0,1,not tracked,is tracked,25.61963,0,Right Trigger
3,0,1,not tracked,is tracked,25.62435,0,Right Trigger
3,0,1,not tracked,is tracked,25.6302,0,Right Trigger
3,0,1,not tracked,is tracked,25.63533,0,Right Trigger
3,0,1,not tracked,is tracked,25.64039,0,Right Trigger
3,0,1,not tracked,is tracked,25.64562,0,Right Trigger
3,0,1,not tracked,is tracked,25.65122,0,Right Trigger
3,0,1,not tracked,is tracked,25.65634,0,Right Trigger
3,0,1,not tracked,is tracked,25.66162,0,Right Trigger
3,0,1,not tracked,is tracked,25.66654,0,Right Trigger
3,0,1,not tracked,is tracked,25.67204,0,Right Trigger
3,0,1,not tracked,is tracked,25.67718,0,Right Trigger
3,0,1,not tracked,is tracked,25.68217,0,Right Trigger
3,0,1,not tracked,is tracked,25.68811,0,Right Trigger
3,0,1,not tracked,is tracked,25.69355,0,Right Trigger
3,0,1,not tracked,is tracked,25.69942,0,Right Trigger
3,0,1,not tracked,is tracked,25.70452,0,Right Trigger
3,0,1,not tracked,is tracked,25.71009,0,Right Trigger
3,0,1,not tracked,is tracked,25.71542,0,Right Trigger
3,0,1,not tracked,is tracked,25.72055,0,Right Trigger
3,0,1,not tracked,is tracked,25.72547,0,Right Trigger
3,0,1,not tracked,is tracked,25.7312,0,Right Trigger
3,0,1,not tracked,is tracked,25.73633,0,Right Trigger
3,0,1,not tracked,is tracked,25.74171,0,Right Trigger
3,0,1,not tracked,is tracked,25.74769,0,Right Trigger
3,0,1,not tracked,is tracked,25.7528,0,Right Trigger
3,0,1,not tracked,is tracked,25.75796,0,Right Trigger
3,0,1,not tracked,is tracked,25.76321,0,Right Trigger
3,0,1,not tracked,is tracked,25.76859,0,Right Trigger
3,0,1,not tracked,is tracked,25.7735,0,Right Trigger
3,0,1,not tracked,is tracked,25.77848,0,Right Trigger
3,0,1,not tracked,is tracked,25.78362,0,Right Trigger
3,0,1,not tracked,is tracked,25.78921,0,Right Trigger
3,0,1,not tracked,is tracked,25.7944,0,Right Trigger
3,0,1,not tracked,is tracked,25.79972,0,Right Trigger
3,0,1,not tracked,is tracked,25.80486,0,Right Trigger
3,0,1,not tracked,is tracked,25.81016,0,Right Trigger
3,0,1,not tracked,is tracked,25.81554,0,Right Trigger
3,0,1,not tracked,is tracked,25.82062,0,Right Trigger
3,0,1,not tracked,is tracked,25.82581,0,Right Trigger
3,0,1,not tracked,is tracked,25.83167,0,Right Trigger
3,0,1,not tracked,is tracked,25.83704,0,Right Trigger
3,0,1,not tracked,is tracked,25.84249,0,Right Trigger
3,0,1,not tracked,is tracked,25.84851,0,Right Trigger
3,0,1,not tracked,is tracked,25.85351,0,Right Trigger
3,0,1,not tracked,is tracked,25.85836,0,Right Trigger
3,0,1,not tracked,is tracked,25.8637,0,Right Trigger
3,0,1,not tracked,is tracked,25.86915,0,Right Trigger
3,0,1,not tracked,is tracked,25.87421,0,Right Trigger
