Current Player,Current Panel,Current Task,Current Time,Current Value,Current Target,Current Input
1,0,1,10.92905,0,3,Right Trigger
1,0,1,11.5304,1,3,Right Trigger
1,0,1,12.14329,2,3,Right Trigger
1,0,1,12.15469,3,3,Right Trigger
1,0,2,16.98859,0,6,Right Trigger
1,0,2,17.32255,1,6,Right Trigger
1,0,2,17.55723,2,6,Right Trigger
1,0,2,17.86795,3,6,Right Trigger
1,0,2,18.15834,4,6,Right Trigger
1,0,2,18.6476,5,6,Right Trigger
1,0,2,18.65903,6,6,Right Trigger
1,0,3,21.8554,0,9,Right Trigger
1,0,3,22.01113,1,9,Right Trigger
1,0,3,22.17854,2,9,Right Trigger
1,0,3,22.34538,3,9,Right Trigger
1,0,3,22.49057,4,9,Right Trigger
1,0,3,22.64589,5,9,Right Trigger
1,0,3,22.8247,6,9,Right Trigger
1,0,3,23.11419,7,9,Right Trigger
1,0,3,23.48173,8,9,Right Trigger
1,0,3,23.49245,9,9,Right Trigger
1,0,4,27.41363,19,600,Right Trigger
1,0,4,27.42494,17,600,Right Trigger
1,0,4,27.43615,16,600,Right Trigger
1,0,4,27.44642,15,600,Right Trigger
1,0,4,27.45804,14,600,Right Trigger
1,0,4,27.4692,13,600,Right Trigger
1,0,4,27.49166,12,600,Right Trigger
1,0,4,27.50218,11,600,Right Trigger
1,0,4,27.5133,10,600,Right Trigger
1,0,4,27.53561,9,600,Right Trigger
1,0,4,27.59164,8,600,Right Trigger
1,0,4,27.60252,9,600,Right Trigger
1,0,4,27.61378,10,600,Right Trigger
1,0,4,27.6251,12,600,Right Trigger
1,0,4,27.63607,15,600,Right Trigger
1,0,4,27.64697,18,600,Right Trigger
1,0,4,27.65837,22,600,Right Trigger
1,0,4,27.66926,25,600,Right Trigger
1,0,4,27.68039,30,600,Right Trigger
1,0,4,27.69189,35,600,Right Trigger
1,0,4,27.70268,39,600,Right Trigger
1,0,4,27.71388,44,600,Right Trigger
1,0,4,27.72508,49,600,Right Trigger
1,0,4,27.73601,54,600,Right Trigger
1,0,4,27.7472,58,600,Right Trigger
1,0,4,27.75876,62,600,Right Trigger
1,0,4,27.76949,66,600,Right Trigger
1,0,4,27.78067,70,600,Right Trigger
1,0,4,27.79218,74,600,Right Trigger
1,0,4,27.80289,78,600,Right Trigger
1,0,4,27.81426,81,600,Right Trigger
1,0,4,27.82639,85,600,Right Trigger
1,0,4,27.83661,88,600,Right Trigger
1,0,4,27.8478,91,600,Right Trigger
1,0,4,27.85862,93,600,Right Trigger
1,0,4,27.86975,96,600,Right Trigger
1,0,4,27.8808,99,600,Right Trigger
1,0,4,27.89281,102,600,Right Trigger
1,0,4,27.90337,104,600,Right Trigger
1,0,4,27.91463,107,600,Right Trigger
1,0,4,27.92572,109,600,Right Trigger
1,0,4,27.93718,112,600,Right Trigger
1,0,4,27.94818,115,600,Right Trigger
1,0,4,27.959,118,600,Right Trigger
1,0,4,27.97004,122,600,Right Trigger
1,0,4,27.98134,126,600,Right Trigger
1,0,4,27.99218,129,600,Right Trigger
1,0,4,28.0034,133,600,Right Trigger
1,0,4,28.01473,137,600,Right Trigger
1,0,4,28.02601,142,600,Right Trigger
1,0,4,28.03685,146,600,Right Trigger
1,0,4,28.04798,151,600,Right Trigger
1,0,4,28.0591,156,600,Right Trigger
1,0,4,28.07032,162,600,Right Trigger
1,0,4,28.08163,168,600,Right Trigger
1,0,4,28.093,173,600,Right Trigger
1,0,4,28.10395,178,600,Right Trigger
1,0,4,28.11556,183,600,Right Trigger
1,0,4,28.12592,188,600,Right Trigger
1,0,4,28.13703,193,600,Right Trigger
1,0,4,28.14852,197,600,Right Trigger
1,0,4,28.15943,201,600,Right Trigger
1,0,4,28.17048,204,600,Right Trigger
1,0,4,28.18222,207,600,Right Trigger
1,0,4,28.19274,209,600,Right Trigger
1,0,4,28.20383,212,600,Right Trigger
1,0,4,28.21546,214,600,Right Trigger
1,0,4,28.22633,216,600,Right Trigger
1,0,4,28.23746,218,600,Right Trigger
1,0,4,28.24917,220,600,Right Trigger
1,0,4,28.2595,221,600,Right Trigger
1,0,4,28.2711,222,600,Right Trigger
1,0,4,28.28227,223,600,Right Trigger
1,0,4,28.29308,224,600,Right Trigger
1,0,4,28.30441,226,600,Right Trigger
1,0,4,28.31612,227,600,Right Trigger
1,0,4,28.3265,229,600,Right Trigger
1,0,4,28.33767,231,600,Right Trigger
1,0,4,28.34943,233,600,Right Trigger
1,0,4,28.35998,235,600,Right Trigger
1,0,4,28.37114,238,600,Right Trigger
1,0,4,28.38252,240,600,Right Trigger
1,0,4,28.39333,243,600,Right Trigger
1,0,4,28.40449,246,600,Right Trigger
1,0,4,28.41612,249,600,Right Trigger
1,0,4,28.42679,252,600,Right Trigger
1,0,4,28.43812,255,600,Right Trigger
1,0,4,28.44917,259,600,Right Trigger
1,0,4,28.46041,262,600,Right Trigger
1,0,4,28.47128,266,600,Right Trigger
